,Key Variables,Coefficient,Percentage Change,Dollar Change,Total
0,Square Foot Living,0.0003,0.03,155.72,519219.54
1,Grade 2: Average,0.2013,20.13,104487.55,623551.37
2,Grade 3: Above Average,0.42,42.0,218006.8,737070.62
3,Grade 4: Excellent,0.4512,45.12,234201.6,753265.42
4,Zipcode: Quad 2,-0.0778,-7.779999999999999,-40383.17,478680.65
5,Zipcode: Quad 3,-0.3378,-33.78,-175339.76,343724.06
6,Zipcode: Quad 4,-0.0377,-3.7699999999999996,-19568.71,499495.11
7,Zipcode: Quad 5,-0.0355,-3.55,-18426.77,500637.05
8,Zipcode: Quad 6,-0.2265,-22.650000000000002,-117567.96,401495.86
9,Zipcode: Quad 7,-0.4331,-43.309999999999995,-224806.54,294257.28
10,Zipcode: Quad 8,-0.5408,-54.08,-280709.71,238354.11
11,Zipcode: Quad 9,-0.3321,-33.21,-172381.09,346682.73
12,Zipcode: Quad 10,-0.6747,-67.47,-350212.36,168851.46
13,Zipcode: Quad 11,-0.6297,-62.970000000000006,-326854.49,192209.33
14,Zipcode: Quad 12,-0.5376,-53.76,-279048.71,240015.11
